Age,Education,Occupation,Relationship,Race,Sex,Target
40,D - Associates,Adm-clerical,Husband,White,Male,<=50K
67,A - No HS Diploma,?,Husband,White,Male,<=50K
18,A - No HS Diploma,Other-service,Own-child,White,Female,<=50K
31,A - No HS Diploma,Farming-fishing,Husband,White,Male,<=50K
18,B - HS Diploma,Sales,Not-in-family,White,Male,<=50K
52,E - Bachelors,Other-service,Husband,White,Male,<=50K
46,B - HS Diploma,Other-service,Wife,White,Female,<=50K
59,B - HS Diploma,Sales,Husband,White,Male,<=50K
44,B - HS Diploma,Craft-repair,Not-in-family,White,Female,>50K
53,B - HS Diploma,Sales,Own-child,White,Female,<=50K
49,B - HS Diploma,Protective-serv,Husband,White,Male,>50K
33,F - Graduate Degree,Prof-specialty,Husband,White,Male,<=50K
30,A - No HS Diploma,Sales,Not-in-family,White,Male,<=50K
43,F - Graduate Degree,Prof-specialty,Not-in-family,White,Female,>50K
57,D - Associates,Prof-specialty,Husband,White,Male,<=50K
37,C - Some College,Craft-repair,Unmarried,White,Female,<=50K
28,C - Some College,Machine-op-inspct,Unmarried,Black,Female,<=50K
30,B - HS Diploma,Sales,Wife,Asian-Pac-Islander,Female,<=50K
34,E - Bachelors,Protective-serv,Husband,White,Male,>50K
29,C - Some College,Handlers-cleaners,Not-in-family,White,Male,<=50K
48,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
37,C - Some College,Sales,Husband,White,Male,>50K
48,D - Associates,Exec-managerial,Unmarried,White,Female,<=50K
32,B - HS Diploma,Other-service,Own-child,Black,Male,<=50K
76,F - Graduate Degree,Exec-managerial,Husband,White,Male,>50K
44,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
47,F - Graduate Degree,Prof-specialty,Not-in-family,White,Female,<=50K
20,C - Some College,Tech-support,Own-child,White,Female,<=50K
29,B - HS Diploma,Craft-repair,Not-in-family,White,Male,<=50K
32,B - HS Diploma,Craft-repair,Husband,White,Male,>50K
17,A - No HS Diploma,?,Own-child,White,Female,<=50K
30,A - No HS Diploma,Handlers-cleaners,Own-child,White,Male,<=50K
31,B - HS Diploma,Adm-clerical,Not-in-family,White,Female,<=50K
42,B - HS Diploma,Handlers-cleaners,Husband,White,Male,<=50K
24,E - Bachelors,Sales,Other-relative,White,Male,<=50K
38,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
56,B - HS Diploma,Other-service,Husband,White,Male,>50K
28,C - Some College,Sales,Wife,White,Female,<=50K
36,B - HS Diploma,Machine-op-inspct,Own-child,White,Female,<=50K
53,A - No HS Diploma,Handlers-cleaners,Husband,White,Male,<=50K
56,C - Some College,Sales,Husband,White,Male,<=50K
49,D - Associates,Craft-repair,Husband,Black,Male,>50K
55,C - Some College,Sales,Husband,White,Male,<=50K
22,B - HS Diploma,Craft-repair,Not-in-family,White,Male,<=50K
21,C - Some College,Other-service,Own-child,White,Female,<=50K
40,E - Bachelors,Exec-managerial,Husband,White,Male,<=50K
30,E - Bachelors,Exec-managerial,Own-child,Black,Male,<=50K
29,E - Bachelors,Prof-specialty,Husband,White,Male,>50K
19,C - Some College,Other-service,Own-child,Black,Male,<=50K
47,E - Bachelors,Exec-managerial,Wife,White,Female,>50K
20,C - Some College,Adm-clerical,Own-child,White,Female,<=50K
31,D - Associates,Adm-clerical,Husband,White,Male,>50K
35,B - HS Diploma,?,Husband,White,Male,<=50K
39,C - Some College,Craft-repair,Not-in-family,White,Male,<=50K
28,D - Associates,Sales,Not-in-family,White,Female,<=50K
24,B - HS Diploma,Other-service,Not-in-family,White,Female,<=50K
38,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
37,E - Bachelors,Sales,Husband,White,Male,<=50K
46,D - Associates,Tech-support,Not-in-family,Black,Female,<=50K
38,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
43,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
27,D - Associates,Adm-clerical,Wife,White,Female,<=50K
20,C - Some College,Sales,Own-child,White,Male,<=50K
49,C - Some College,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
61,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
27,C - Some College,Sales,Own-child,White,Female,<=50K
19,C - Some College,Other-service,Own-child,White,Male,<=50K
45,D - Associates,Prof-specialty,Not-in-family,White,Female,>50K
70,C - Some College,Tech-support,Other-relative,White,Male,<=50K
31,B - HS Diploma,Transport-moving,Unmarried,Black,Female,<=50K
22,C - Some College,Other-service,Husband,White,Male,<=50K
36,B - HS Diploma,Other-service,Unmarried,White,Female,<=50K
64,A - No HS Diploma,Craft-repair,Husband,White,Male,<=50K
43,C - Some College,?,Not-in-family,White,Female,<=50K
47,C - Some College,Adm-clerical,Unmarried,White,Female,<=50K
34,B - HS Diploma,Adm-clerical,Not-in-family,White,Female,<=50K
33,E - Bachelors,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,<=50K
21,B - HS Diploma,Craft-repair,Own-child,White,Male,<=50K
52,B - HS Diploma,?,Not-in-family,White,Male,>50K
48,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
23,E - Bachelors,Handlers-cleaners,Not-in-family,White,Male,<=50K
71,C - Some College,Sales,Unmarried,Black,Male,<=50K
29,B - HS Diploma,Craft-repair,Not-in-family,White,Male,<=50K
42,E - Bachelors,Other-service,Other-relative,Black,Male,<=50K
68,A - No HS Diploma,?,Not-in-family,White,Female,<=50K
25,B - HS Diploma,Other-service,Unmarried,White,Female,<=50K
44,F - Graduate Degree,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,<=50K
28,B - HS Diploma,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,<=50K
45,F - Graduate Degree,Sales,Husband,White,Male,>50K
36,C - Some College,Other-service,Unmarried,White,Female,<=50K
39,D - Associates,Exec-managerial,Not-in-family,White,Male,<=50K
46,F - Graduate Degree,Protective-serv,Unmarried,White,Male,<=50K
18,A - No HS Diploma,Handlers-cleaners,Own-child,White,Male,<=50K
66,D - Associates,Prof-specialty,Not-in-family,White,Female,<=50K
27,B - HS Diploma,Other-service,Not-in-family,White,Male,<=50K
28,B - HS Diploma,Protective-serv,Husband,White,Male,<=50K
51,C - Some College,Sales,Husband,White,Male,>50K
27,E - Bachelors,Craft-repair,Not-in-family,White,Male,<=50K
28,E - Bachelors,Prof-specialty,Husband,White,Male,>50K
27,B - HS Diploma,Sales,Unmarried,White,Female,<=50K
21,B - HS Diploma,Craft-repair,Own-child,Black,Male,<=50K
34,B - HS Diploma,Handlers-cleaners,Not-in-family,Black,Male,<=50K
18,B - HS Diploma,Other-service,Own-child,White,Male,<=50K
33,E - Bachelors,Prof-specialty,Husband,White,Male,<=50K
44,C - Some College,Exec-managerial,Husband,Black,Male,>50K
43,C - Some College,Adm-clerical,Not-in-family,White,Female,<=50K
30,C - Some College,Craft-repair,Not-in-family,Black,Male,<=50K
40,A - No HS Diploma,Machine-op-inspct,Husband,White,Male,>50K
37,C - Some College,Adm-clerical,Husband,White,Male,>50K
34,B - HS Diploma,Adm-clerical,Husband,Black,Male,<=50K
41,E - Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
53,E - Bachelors,?,Not-in-family,White,Female,<=50K
31,F - Graduate Degree,Prof-specialty,Wife,White,Female,<=50K
58,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
38,C - Some College,Machine-op-inspct,Not-in-family,Black,Female,<=50K
24,C - Some College,Machine-op-inspct,Husband,White,Male,<=50K
41,E - Bachelors,Craft-repair,Husband,Black,Male,<=50K
47,C - Some College,Tech-support,Husband,White,Male,<=50K
41,E - Bachelors,Tech-support,Husband,White,Male,<=50K
23,A - No HS Diploma,Transport-moving,Other-relative,White,Male,<=50K
36,C - Some College,Craft-repair,Not-in-family,White,Male,<=50K
40,F - Graduate Degree,Exec-managerial,Not-in-family,White,Female,>50K
35,F - Graduate Degree,Prof-specialty,Other-relative,White,Male,>50K
24,B - HS Diploma,Sales,Not-in-family,White,Male,<=50K
26,F - Graduate Degree,Prof-specialty,Not-in-family,White,Female,<=50K
19,B - HS Diploma,?,Own-child,White,Male,<=50K
51,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
42,C - Some College,Prof-specialty,Not-in-family,White,Female,<=50K
37,B - HS Diploma,Adm-clerical,Unmarried,White,Female,<=50K
18,A - No HS Diploma,Sales,Own-child,White,Female,<=50K
36,E - Bachelors,Other-service,Husband,Black,Male,>50K
35,B - HS Diploma,Craft-repair,Not-in-family,White,Male,<=50K
58,B - HS Diploma,Sales,Wife,White,Female,>50K
17,A - No HS Diploma,Sales,Own-child,White,Female,<=50K
44,B - HS Diploma,Transport-moving,Husband,Black,Male,<=50K
37,B - HS Diploma,Craft-repair,Husband,White,Male,>50K
35,C - Some College,Sales,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
60,B - HS Diploma,Craft-repair,Husband,Asian-Pac-Islander,Male,<=50K
54,A - No HS Diploma,Machine-op-inspct,Husband,White,Male,>50K
37,E - Bachelors,Exec-managerial,Not-in-family,Black,Male,>50K
50,D - Associates,Sales,Not-in-family,White,Female,<=50K
38,E - Bachelors,Sales,Husband,White,Male,<=50K
45,E - Bachelors,Prof-specialty,Husband,White,Male,<=50K
25,A - No HS Diploma,Craft-repair,Not-in-family,White,Male,<=50K
31,C - Some College,Handlers-cleaners,Husband,White,Male,<=50K
64,A - No HS Diploma,?,Not-in-family,White,Male,<=50K
90,B - HS Diploma,Other-service,Not-in-family,Black,Male,<=50K
54,B - HS Diploma,Adm-clerical,Husband,Black,Male,<=50K
53,A - No HS Diploma,Machine-op-inspct,Not-in-family,White,Female,<=50K
18,B - HS Diploma,Sales,Own-child,White,Female,<=50K
60,A - No HS Diploma,?,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
66,B - HS Diploma,Farming-fishing,Husband,White,Male,<=50K
75,D - Associates,Adm-clerical,Not-in-family,White,Female,<=50K
65,B - HS Diploma,Adm-clerical,Not-in-family,White,Female,<=50K
35,A - No HS Diploma,Transport-moving,Not-in-family,Black,Male,<=50K
41,B - HS Diploma,Sales,Unmarried,Black,Female,<=50K
25,C - Some College,Adm-clerical,Not-in-family,White,Male,<=50K
33,C - Some College,Craft-repair,Other-relative,Other,Female,<=50K
28,F - Graduate Degree,Prof-specialty,Not-in-family,White,Male,>50K
59,B - HS Diploma,Other-service,Husband,White,Male,<=50K
40,C - Some College,Adm-clerical,Not-in-family,White,Female,<=50K
41,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
38,F - Graduate Degree,Exec-managerial,Husband,White,Male,>50K
23,B - HS Diploma,Transport-moving,Own-child,White,Male,<=50K
40,E - Bachelors,Prof-specialty,Husband,White,Male,>50K
41,B - HS Diploma,Other-service,Wife,White,Female,<=50K
24,D - Associates,Protective-serv,Husband,White,Male,<=50K
20,C - Some College,?,Own-child,White,Male,<=50K
38,C - Some College,Craft-repair,Not-in-family,White,Male,<=50K
56,B - HS Diploma,Adm-clerical,Husband,White,Male,<=50K
58,B - HS Diploma,Adm-clerical,Husband,White,Male,>50K
32,B - HS Diploma,Other-service,Not-in-family,White,Female,<=50K
40,D - Associates,Tech-support,Husband,White,Male,>50K
45,B - HS Diploma,Adm-clerical,Husband,White,Male,<=50K
41,F - Graduate Degree,Prof-specialty,Wife,White,Female,>50K
42,E - Bachelors,Adm-clerical,Wife,Black,Female,<=50K
59,A - No HS Diploma,Other-service,Unmarried,Black,Female,<=50K
19,C - Some College,Adm-clerical,Own-child,White,Male,<=50K
58,C - Some College,Transport-moving,Not-in-family,White,Male,<=50K
42,B - HS Diploma,Farming-fishing,Husband,Asian-Pac-Islander,Male,>50K
20,B - HS Diploma,Other-service,Own-child,White,Female,<=50K
32,B - HS Diploma,Other-service,Not-in-family,White,Female,<=50K
45,D - Associates,Exec-managerial,Not-in-family,White,Female,<=50K
50,A - No HS Diploma,Craft-repair,Not-in-family,White,Male,<=50K
36,E - Bachelors,Prof-specialty,Own-child,White,Female,<=50K
45,B - HS Diploma,Sales,Husband,White,Male,<=50K
17,A - No HS Diploma,Other-service,Own-child,White,Male,<=50K
59,C - Some College,Sales,Husband,White,Male,<=50K
26,A - No HS Diploma,Craft-repair,Husband,White,Male,<=50K
37,C - Some College,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
19,C - Some College,?,Own-child,White,Male,<=50K
64,B - HS Diploma,Exec-managerial,Husband,White,Male,>50K
33,E - Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
33,B - HS Diploma,Craft-repair,Wife,White,Female,>50K
61,B - HS Diploma,Exec-managerial,Husband,White,Male,>50K
17,A - No HS Diploma,Other-service,Own-child,White,Male,<=50K
50,F - Graduate Degree,Farming-fishing,Husband,White,Male,<=50K
27,F - Graduate Degree,Prof-specialty,Own-child,White,Male,<=50K
30,B - HS Diploma,Prof-specialty,Own-child,White,Female,<=50K
43,B - HS Diploma,Handlers-cleaners,Husband,Black,Male,<=50K
44,C - Some College,Craft-repair,Husband,White,Male,>50K
35,C - Some College,Exec-managerial,Not-in-family,White,Female,<=50K
25,C - Some College,Tech-support,Own-child,White,Female,<=50K
24,C - Some College,Machine-op-inspct,Wife,White,Female,>50K
22,E - Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
42,C - Some College,Craft-repair,Husband,White,Male,>50K
34,D - Associates,Sales,Unmarried,Black,Female,<=50K
60,E - Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
21,B - HS Diploma,Handlers-cleaners,Own-child,White,Male,<=50K
57,F - Graduate Degree,Sales,Husband,White,Male,>50K
41,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
50,C - Some College,Other-service,Not-in-family,White,Male,<=50K
25,E - Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
50,A - No HS Diploma,Craft-repair,Husband,White,Male,<=50K
36,E - Bachelors,Prof-specialty,Husband,White,Male,<=50K
31,B - HS Diploma,Prof-specialty,Not-in-family,White,Female,<=50K
29,E - Bachelors,Protective-serv,Not-in-family,White,Male,<=50K
21,C - Some College,Sales,Own-child,White,Male,<=50K
27,E - Bachelors,Tech-support,Unmarried,Black,Female,<=50K
65,B - HS Diploma,Transport-moving,Husband,White,Male,<=50K
37,E - Bachelors,Sales,Not-in-family,White,Female,<=50K
39,F - Graduate Degree,?,Wife,Asian-Pac-Islander,Female,<=50K
24,B - HS Diploma,Craft-repair,Own-child,White,Male,<=50K
38,B - HS Diploma,Sales,Not-in-family,White,Male,<=50K
48,E - Bachelors,Adm-clerical,Husband,White,Male,>50K
21,C - Some College,Other-service,Not-in-family,Asian-Pac-Islander,Female,<=50K
31,B - HS Diploma,Transport-moving,Husband,White,Male,>50K
55,B - HS Diploma,Sales,Husband,White,Male,>50K
24,C - Some College,Adm-clerical,Wife,Asian-Pac-Islander,Female,<=50K
43,B - HS Diploma,Adm-clerical,Not-in-family,White,Female,<=50K
26,D - Associates,Tech-support,Not-in-family,White,Male,<=50K
46,D - Associates,Prof-specialty,Not-in-family,White,Female,<=50K
35,D - Associates,Adm-clerical,Husband,White,Male,>50K
41,C - Some College,Farming-fishing,Husband,White,Male,>50K
26,E - Bachelors,Sales,Not-in-family,White,Male,<=50K
34,F - Graduate Degree,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
19,C - Some College,?,Own-child,Black,Female,<=50K
36,E - Bachelors,Prof-specialty,Not-in-family,Black,Female,>50K
22,C - Some College,Sales,Own-child,White,Male,<=50K
24,C - Some College,Machine-op-inspct,Not-in-family,White,Male,<=50K
77,C - Some College,Sales,Husband,White,Male,<=50K
22,A - No HS Diploma,Machine-op-inspct,Other-relative,White,Female,<=50K
29,C - Some College,Tech-support,Not-in-family,White,Female,<=50K
62,B - HS Diploma,Other-service,Not-in-family,White,Female,<=50K
39,B - HS Diploma,Exec-managerial,Husband,White,Male,<=50K
43,C - Some College,Craft-repair,Husband,White,Male,<=50K
35,B - HS Diploma,Transport-moving,Not-in-family,White,Male,<=50K
29,A - No HS Diploma,Exec-managerial,Not-in-family,White,Female,<=50K
76,F - Graduate Degree,Craft-repair,Husband,White,Male,<=50K
63,B - HS Diploma,Farming-fishing,Husband,White,Male,<=50K
23,D - Associates,?,Own-child,Black,Female,<=50K
43,C - Some College,Prof-specialty,Wife,White,Female,>50K
58,B - HS Diploma,Handlers-cleaners,Husband,White,Male,<=50K
66,B - HS Diploma,Transport-moving,Not-in-family,White,Male,<=50K
41,C - Some College,Craft-repair,Not-in-family,Black,Male,<=50K
26,E - Bachelors,Adm-clerical,Not-in-family,White,Male,<=50K
47,D - Associates,Other-service,Not-in-family,White,Male,<=50K
55,A - No HS Diploma,Adm-clerical,Husband,White,Male,<=50K
53,B - HS Diploma,Transport-moving,Husband,White,Male,<=50K
17,A - No HS Diploma,Other-service,Other-relative,White,Male,<=50K
30,B - HS Diploma,Craft-repair,Other-relative,White,Male,<=50K
49,F - Graduate Degree,Prof-specialty,Not-in-family,White,Male,<=50K
19,B - HS Diploma,Sales,Unmarried,Black,Male,<=50K
45,B - HS Diploma,Other-service,Husband,Black,Male,<=50K
26,D - Associates,Sales,Not-in-family,White,Male,<=50K
38,D - Associates,Craft-repair,Husband,White,Male,>50K
36,B - HS Diploma,Protective-serv,Husband,White,Male,>50K
33,B - HS Diploma,Farming-fishing,Not-in-family,White,Male,<=50K
22,C - Some College,Protective-serv,Own-child,Black,Female,<=50K
43,E - Bachelors,Sales,Not-in-family,White,Male,<=50K
67,A - No HS Diploma,?,Husband,White,Male,<=50K
30,D - Associates,?,Unmarried,White,Female,<=50K
56,D - Associates,Other-service,Not-in-family,White,Male,<=50K
31,E - Bachelors,Prof-specialty,Own-child,White,Male,<=50K
33,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
26,B - HS Diploma,Other-service,Husband,White,Male,<=50K
33,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
46,A - No HS Diploma,Transport-moving,Husband,White,Male,<=50K
59,E - Bachelors,?,Husband,White,Male,>50K
38,B - HS Diploma,Adm-clerical,Husband,White,Male,>50K
65,A - No HS Diploma,Other-service,Unmarried,Other,Male,<=50K
40,D - Associates,Tech-support,Husband,White,Male,>50K
42,B - HS Diploma,Adm-clerical,Wife,White,Female,<=50K
26,A - No HS Diploma,Craft-repair,Husband,White,Male,<=50K
36,A - No HS Diploma,Other-service,Wife,White,Female,<=50K
62,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
43,E - Bachelors,Transport-moving,Husband,White,Male,<=50K
43,E - Bachelors,Exec-managerial,Not-in-family,White,Male,>50K
22,B - HS Diploma,Sales,Not-in-family,White,Male,<=50K
28,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
56,C - Some College,Sales,Husband,White,Male,<=50K
22,D - Associates,Sales,Not-in-family,White,Female,<=50K
57,E - Bachelors,Exec-managerial,Not-in-family,White,Female,>50K
39,B - HS Diploma,Sales,Unmarried,White,Female,<=50K
26,C - Some College,Adm-clerical,Unmarried,White,Female,<=50K
17,A - No HS Diploma,Other-service,Own-child,White,Male,<=50K
40,D - Associates,Machine-op-inspct,Husband,White,Male,>50K
45,B - HS Diploma,Machine-op-inspct,Husband,Black,Male,<=50K
44,B - HS Diploma,Craft-repair,Not-in-family,Black,Male,<=50K
20,C - Some College,Adm-clerical,Own-child,White,Female,<=50K
33,B - HS Diploma,Craft-repair,Wife,White,Female,<=50K
23,C - Some College,Sales,Not-in-family,White,Male,<=50K
46,F - Graduate Degree,Exec-managerial,Not-in-family,White,Male,<=50K
38,B - HS Diploma,Sales,Husband,White,Male,<=50K
54,B - HS Diploma,Transport-moving,Not-in-family,White,Male,<=50K
46,A - No HS Diploma,Craft-repair,Not-in-family,White,Female,<=50K
25,C - Some College,Craft-repair,Husband,White,Male,<=50K
46,C - Some College,Sales,Not-in-family,White,Female,<=50K
36,C - Some College,Transport-moving,Wife,White,Female,<=50K
23,B - HS Diploma,Other-service,Not-in-family,White,Female,<=50K
29,B - HS Diploma,Machine-op-inspct,Not-in-family,White,Male,<=50K
44,C - Some College,Adm-clerical,Wife,White,Female,>50K
19,C - Some College,Adm-clerical,Own-child,White,Female,<=50K
19,B - HS Diploma,Other-service,Other-relative,White,Female,<=50K
35,B - HS Diploma,Other-service,Wife,White,Female,>50K
27,E - Bachelors,Craft-repair,Not-in-family,White,Male,<=50K
46,D - Associates,Craft-repair,Not-in-family,White,Male,<=50K
34,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
34,B - HS Diploma,Other-service,Not-in-family,White,Female,<=50K
44,C - Some College,Tech-support,Husband,White,Male,<=50K
45,C - Some College,Handlers-cleaners,Unmarried,White,Female,<=50K
20,B - HS Diploma,?,Other-relative,White,Female,<=50K
25,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
52,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
20,C - Some College,Handlers-cleaners,Own-child,White,Male,<=50K
28,C - Some College,Other-service,Not-in-family,White,Female,<=50K
50,E - Bachelors,Protective-serv,Husband,White,Male,>50K
34,D - Associates,Tech-support,Not-in-family,White,Female,<=50K
28,A - No HS Diploma,Handlers-cleaners,Husband,Other,Male,<=50K
41,F - Graduate Degree,Exec-managerial,Husband,White,Male,>50K
28,B - HS Diploma,Adm-clerical,Husband,White,Male,<=50K
46,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
28,C - Some College,?,Wife,White,Female,>50K
32,C - Some College,Exec-managerial,Husband,White,Male,<=50K
41,C - Some College,Other-service,Not-in-family,Black,Female,<=50K
24,B - HS Diploma,Handlers-cleaners,Unmarried,Black,Female,<=50K
33,C - Some College,Exec-managerial,Unmarried,White,Female,<=50K
46,F - Graduate Degree,Exec-managerial,Husband,White,Male,>50K
31,C - Some College,Machine-op-inspct,Husband,White,Male,<=50K
35,A - No HS Diploma,Craft-repair,Not-in-family,White,Male,>50K
52,A - No HS Diploma,Machine-op-inspct,Husband,White,Male,<=50K
30,A - No HS Diploma,Other-service,Own-child,White,Female,<=50K
34,A - No HS Diploma,Machine-op-inspct,Not-in-family,Black,Male,<=50K
34,B - HS Diploma,Transport-moving,Unmarried,White,Female,<=50K
20,C - Some College,Sales,Husband,White,Male,<=50K
17,A - No HS Diploma,Handlers-cleaners,Own-child,White,Male,<=50K
32,E - Bachelors,Exec-managerial,Wife,White,Female,>50K
29,B - HS Diploma,Farming-fishing,Not-in-family,White,Male,<=50K
33,A - No HS Diploma,Craft-repair,Unmarried,White,Female,<=50K
25,B - HS Diploma,Transport-moving,Husband,White,Male,<=50K
36,F - Graduate Degree,Prof-specialty,Not-in-family,White,Male,<=50K
23,B - HS Diploma,Handlers-cleaners,Not-in-family,White,Male,<=50K
63,B - HS Diploma,Exec-managerial,Husband,White,Male,>50K
47,F - Graduate Degree,Prof-specialty,Husband,White,Male,<=50K
